date,geography,distinct_patient_count J00-J06 Acute upper respiratory infections 0-200,distinct_patient_count J00-J06 Acute upper respiratory infections 1-4,distinct_patient_count J00-J06 Acute upper respiratory infections 15-34,distinct_patient_count J00-J06 Acute upper respiratory infections 35-59,distinct_patient_count J00-J06 Acute upper respiratory infections 5-14,distinct_patient_count J00-J06 Acute upper respiratory infections 60-79,distinct_patient_count J00-J06 Acute upper respiratory infections 80+,distinct_patient_count J00-J06 Acute upper respiratory infections <1,distinct_patient_count J1-J2 RSV 0-200,distinct_patient_count J1-J2 RSV 1-4,distinct_patient_count J1-J2 RSV 15-34,distinct_patient_count J1-J2 RSV 35-59,distinct_patient_count J1-J2 RSV 5-14,distinct_patient_count J1-J2 RSV 60-79,distinct_patient_count J1-J2 RSV 80+,distinct_patient_count J1-J2 RSV <1,distinct_patient_count J10-J18 Influenza and pneumonia 0-200,distinct_patient_count J10-J18 Influenza and pneumonia 1-4,distinct_patient_count J10-J18 Influenza and pneumonia 15-34,distinct_patient_count J10-J18 Influenza and pneumonia 35-59,distinct_patient_count J10-J18 Influenza and pneumonia 5-14,distinct_patient_count J10-J18 Influenza and pneumonia 60-79,distinct_patient_count J10-J18 Influenza and pneumonia 80+,distinct_patient_count J20-J22 Other acute respiratory infections 0-200,distinct_patient_count J20-J22 Other acute respiratory infections 1-4,distinct_patient_count J20-J22 Other acute respiratory infections 15-34,distinct_patient_count J20-J22 Other acute respiratory infections 35-59,distinct_patient_count J20-J22 Other acute respiratory infections 5-14,distinct_patient_count J20-J22 Other acute respiratory infections 60-79,distinct_patient_count J20-J22 Other acute respiratory infections 80+,distinct_patient_count J20-J22 Other acute respiratory infections <1,distinct_patient_count U0 COVID-19 0-200,distinct_patient_count U0 COVID-19 1-4,distinct_patient_count U0 COVID-19 15-34,distinct_patient_count U0 COVID-19 35-59,distinct_patient_count U0 COVID-19 5-14,distinct_patient_count U0 COVID-19 60-79,distinct_patient_count U0 COVID-19 80+,distinct_patient_count U0 COVID-19 <1,ratio J00-J06 Acute upper respiratory infections 0-200,ratio J00-J06 Acute upper respiratory infections 1-4,ratio J00-J06 Acute upper respiratory infections 15-34,ratio J00-J06 Acute upper respiratory infections 35-59,ratio J00-J06 Acute upper respiratory infections 5-14,ratio J00-J06 Acute upper respiratory infections 60-79,ratio J00-J06 Acute upper respiratory infections 80+,ratio J00-J06 Acute upper respiratory infections <1,ratio J1-J2 RSV 0-200,ratio J1-J2 RSV 1-4,ratio J1-J2 RSV 15-34,ratio J1-J2 RSV 35-59,ratio J1-J2 RSV 5-14,ratio J1-J2 RSV 60-79,ratio J1-J2 RSV 80+,ratio J1-J2 RSV <1,ratio J10-J18 Influenza and pneumonia 0-200,ratio J10-J18 Influenza and pneumonia 1-4,ratio J10-J18 Influenza and pneumonia 15-34,ratio J10-J18 Influenza and pneumonia 35-59,ratio J10-J18 Influenza and pneumonia 5-14,ratio J10-J18 Influenza and pneumonia 60-79,ratio J10-J18 Influenza and pneumonia 80+,ratio J20-J22 Other acute respiratory infections 0-200,ratio J20-J22 Other acute respiratory infections 1-4,ratio J20-J22 Other acute respiratory infections 15-34,ratio J20-J22 Other acute respiratory infections 35-59,ratio J20-J22 Other acute respiratory infections 5-14,ratio J20-J22 Other acute respiratory infections 60-79,ratio J20-J22 Other acute respiratory infections 80+,ratio J20-J22 Other acute respiratory infections <1,ratio U0 COVID-19 0-200,ratio U0 COVID-19 1-4,ratio U0 COVID-19 15-34,ratio U0 COVID-19 35-59,ratio U0 COVID-19 5-14,ratio U0 COVID-19 60-79,ratio U0 COVID-19 80+,ratio U0 COVID-19 <1,ratio_all J00-J06 Acute upper respiratory infections 0-200,ratio_all J00-J06 Acute upper respiratory infections 1-4,ratio_all J00-J06 Acute upper respiratory infections 15-34,ratio_all J00-J06 Acute upper respiratory infections 35-59,ratio_all J00-J06 Acute upper respiratory infections 5-14,ratio_all J00-J06 Acute upper respiratory infections 60-79,ratio_all J00-J06 Acute upper respiratory infections 80+,ratio_all J00-J06 Acute upper respiratory infections <1,ratio_all J1-J2 RSV 0-200,ratio_all J1-J2 RSV 1-4,ratio_all J1-J2 RSV 15-34,ratio_all J1-J2 RSV 35-59,ratio_all J1-J2 RSV 5-14,ratio_all J1-J2 RSV 60-79,ratio_all J1-J2 RSV 80+,ratio_all J1-J2 RSV <1,ratio_all J10-J18 Influenza and pneumonia 0-200,ratio_all J10-J18 Influenza and pneumonia 1-4,ratio_all J10-J18 Influenza and pneumonia 15-34,ratio_all J10-J18 Influenza and pneumonia 35-59,ratio_all J10-J18 Influenza and pneumonia 5-14,ratio_all J10-J18 Influenza and pneumonia 60-79,ratio_all J10-J18 Influenza and pneumonia 80+,ratio_all J20-J22 Other acute respiratory infections 0-200,ratio_all J20-J22 Other acute respiratory infections 1-4,ratio_all J20-J22 Other acute respiratory infections 15-34,ratio_all J20-J22 Other acute respiratory infections 35-59,ratio_all J20-J22 Other acute respiratory infections 5-14,ratio_all J20-J22 Other acute respiratory infections 60-79,ratio_all J20-J22 Other acute respiratory infections 80+,ratio_all J20-J22 Other acute respiratory infections <1,ratio_all U0 COVID-19 0-200,ratio_all U0 COVID-19 1-4,ratio_all U0 COVID-19 15-34,ratio_all U0 COVID-19 35-59,ratio_all U0 COVID-19 5-14,ratio_all U0 COVID-19 60-79,ratio_all U0 COVID-19 80+,ratio_all U0 COVID-19 <1
2023-01-02,DE.BW,2606.0,13.0,678.0,1164.0,45.0,364.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,60.0,113.0,0.0,62.0,86.0,498.0,5.0,93.0,199.0,9.0,89.0,103.0,0.0,522.0,0.0,91.0,272.0,0.0,84.0,75.0,0.0,0.66,0.72,0.74,0.67,0.83,0.61,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.07,0.06,0.0,0.1,0.14,0.13,0.28,0.1,0.11,0.17,0.15,0.17,0.0,0.13,0.0,0.1,0.16,0.0,0.14,0.12,0.0,0.1,0.19,0.22,0.15,0.23,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.01,0.01,0.02,0.07,0.03,0.02,0.05,0.02,0.01,0.0,0.02,0.0,0.03,0.03,0.0,0.02,0.01,0.0
2023-01-02,DE.BY,2459.0,46.0,729.0,1056.0,78.0,315.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,2.0,40.0,84.0,4.0,49.0,95.0,465.0,21.0,71.0,166.0,24.0,72.0,111.0,0.0,503.0,0.0,89.0,236.0,0.0,92.0,86.0,0.0,0.66,0.67,0.78,0.68,0.74,0.6,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.04,0.05,0.04,0.09,0.18,0.13,0.3,0.08,0.11,0.23,0.14,0.21,0.0,0.14,0.0,0.1,0.15,0.0,0.17,0.16,0.0,0.09,0.29,0.22,0.13,0.24,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.02,0.02,0.08,0.01,0.01,0.0,0.02,0.0,0.03,0.03,0.0,0.02,0.01,0.0
2023-01-02,DE.BE,890.0,5.0,272.0,393.0,35.0,116.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,18.0,0.0,8.0,20.0,187.0,0.0,33.0,90.0,0.0,33.0,31.0,0.0,300.0,0.0,49.0,149.0,2.0,58.0,42.0,0.0,0.62,1.0,0.76,0.6,0.95,0.54,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.03,0.0,0.04,0.12,0.13,0.0,0.09,0.14,0.0,0.15,0.19,0.0,0.21,0.0,0.14,0.23,0.05,0.27,0.26,0.0,0.08,0.33,0.21,0.11,0.49,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.0,0.02,0.01,0.0,0.03,0.0,0.04,0.04,0.03,0.03,0.01,0.0
2023-01-02,DE.BB,545.0,2.0,155.0,266.0,13.0,64.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,4.0,17.0,0.0,10.0,18.0,33.0,5.0,0.0,10.0,3.0,7.0,8.0,0.0,175.0,2.0,35.0,81.0,0.0,31.0,26.0,0.0,0.68,0.18,0.8,0.71,0.81,0.57,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.18,0.02,0.05,0.0,0.09,0.19,0.05,0.45,0.0,0.03,0.19,0.06,0.08,0.0,0.22,0.18,0.18,0.22,0.0,0.28,0.27,0.0,0.09,0.11,0.23,0.14,0.14,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.01,0.01,0.0,0.01,0.01,0.01,0.26,0.0,0.01,0.03,0.01,0.0,0.0,0.03,0.11,0.05,0.04,0.0,0.02,0.01,0.0
2023-01-02,DE.HB,390.0,13.0,120.0,178.0,7.0,50.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,3.0,0.0,5.0,10.0,58.0,6.0,14.0,23.0,3.0,5.0,7.0,0.0,171.0,0.0,33.0,83.0,0.0,26.0,29.0,0.0,0.61,0.68,0.71,0.62,0.7,0.58,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.01,0.0,0.06,0.15,0.09,0.32,0.08,0.08,0.3,0.06,0.1,0.0,0.28,0.0,0.2,0.29,0.0,0.3,0.43,0.0,0.1,0.24,0.24,0.16,0.21,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.11,0.03,0.02,0.09,0.01,0.0,0.0,0.04,0.0,0.06,0.07,0.0,0.04,0.02,0.0
2023-01-02,DE.HH,631.0,0.0,222.0,276.0,13.0,68.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,27.0,0.0,8.0,25.0,122.0,0.0,24.0,62.0,0.0,24.0,12.0,0.0,109.0,0.0,31.0,50.0,0.0,16.0,12.0,0.0,0.67,0.0,0.75,0.67,1.0,0.59,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.07,0.07,0.0,0.07,0.25,0.13,0.0,0.08,0.15,0.0,0.21,0.12,0.0,0.12,0.0,0.1,0.12,0.0,0.14,0.12,0.0,0.08,0.0,0.21,0.11,0.27,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.01,0.01,0.02,0.0,0.02,0.03,0.0,0.02,0.0,0.0,0.01,0.0,0.03,0.02,0.0,0.01,0.0,0.0
2023-01-02,DE.HE,2455.0,12.0,687.0,1119.0,51.0,336.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,9.0,34.0,0.0,28.0,95.0,395.0,3.0,69.0,173.0,18.0,69.0,63.0,0.0,805.0,0.0,132.0,339.0,3.0,151.0,180.0,0.0,0.64,0.8,0.77,0.67,0.71,0.58,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.02,0.0,0.05,0.16,0.1,0.2,0.08,0.1,0.25,0.12,0.11,0.0,0.21,0.0,0.15,0.2,0.04,0.26,0.31,0.0,0.09,0.27,0.23,0.14,0.25,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.07,0.02,0.02,0.09,0.01,0.01,0.0,0.03,0.0,0.05,0.04,0.01,0.03,0.02,0.0
2023-01-02,DE.MV,491.0,3.0,136.0,221.0,12.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,8.0,16.0,2.0,15.0,28.0,83.0,3.0,8.0,34.0,2.0,20.0,16.0,0.0,174.0,0.0,33.0,84.0,4.0,31.0,22.0,0.0,0.6,0.5,0.74,0.62,0.6,0.49,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.04,0.05,0.1,0.12,0.23,0.1,0.5,0.04,0.1,0.1,0.16,0.13,0.0,0.21,0.0,0.18,0.24,0.2,0.24,0.18,0.0,0.08,0.16,0.24,0.13,0.16,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.03,0.01,0.01,0.01,0.16,0.01,0.02,0.03,0.02,0.01,0.0,0.03,0.0,0.06,0.05,0.05,0.02,0.01,0.0
2023-01-02,DE.NI,3354.0,41.0,979.0,1493.0,77.0,462.0,302.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,336.0,0.0,28.0,115.0,3.0,68.0,122.0,810.0,9.0,137.0,322.0,19.0,136.0,187.0,0.0,1205.0,2.0,194.0,538.0,10.0,232.0,229.0,0.0,0.59,0.79,0.73,0.6,0.71,0.51,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.05,0.03,0.08,0.15,0.14,0.17,0.1,0.13,0.17,0.15,0.22,0.0,0.21,0.04,0.14,0.22,0.09,0.26,0.27,0.0,0.08,0.33,0.21,0.11,0.22,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.07,0.03,0.02,0.05,0.02,0.01,0.0,0.03,0.02,0.04,0.04,0.03,0.03,0.01,0.0
2023-01-02,DE.NW,6588.0,75.0,1906.0,2927.0,86.0,943.0,651.0,0.0,11.0,0.0,3.0,6.0,0.0,0.0,2.0,0.0,676.0,6.0,68.0,218.0,7.0,138.0,239.0,1399.0,9.0,228.0,565.0,13.0,283.0,301.0,0.0,2010.0,6.0,357.0,888.0,5.0,406.0,348.0,0.0,1.24,1.48,1.48,1.27,1.54,1.07,0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.09,0.06,0.09,0.09,0.16,0.31,0.26,0.21,0.18,0.24000000000000002,0.22,0.32,0.39,0.0,0.39,0.23,0.28,0.39,0.15,0.46,0.45,0.0,0.15000000000000002,0.44999999999999996,0.42000000000000004,0.22999999999999998,0.30000000000000004,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.06,0.05,0.05,0.05,0.03,0.02,0.0,0.05,0.08,0.08,0.07,0.03,0.05,0.02,0.0
