date,geography,distinct_patient_count R01 Nasal preparations 0-200,distinct_patient_count R01 Nasal preparations 1-4,distinct_patient_count R01 Nasal preparations 15-34,distinct_patient_count R01 Nasal preparations 35-59,distinct_patient_count R01 Nasal preparations 5-14,distinct_patient_count R01 Nasal preparations 60-79,distinct_patient_count R01 Nasal preparations 80+,distinct_patient_count R01 Nasal preparations <1,distinct_patient_count R02 Throat preparations 0-200,distinct_patient_count R02 Throat preparations 1-4,distinct_patient_count R02 Throat preparations 15-34,distinct_patient_count R02 Throat preparations 35-59,distinct_patient_count R02 Throat preparations 5-14,distinct_patient_count R02 Throat preparations 60-79,distinct_patient_count R02 Throat preparations 80+,distinct_patient_count R03 Drugs for obstructive airway diseases 0-200,distinct_patient_count R03 Drugs for obstructive airway diseases 1-4,distinct_patient_count R03 Drugs for obstructive airway diseases 15-34,distinct_patient_count R03 Drugs for obstructive airway diseases 35-59,distinct_patient_count R03 Drugs for obstructive airway diseases 5-14,distinct_patient_count R03 Drugs for obstructive airway diseases 60-79,distinct_patient_count R03 Drugs for obstructive airway diseases 80+,distinct_patient_count R03 Drugs for obstructive airway diseases <1,distinct_patient_count R05 Cough and cold preparations 0-200,distinct_patient_count R05 Cough and cold preparations 1-4,distinct_patient_count R05 Cough and cold preparations 15-34,distinct_patient_count R05 Cough and cold preparations 35-59,distinct_patient_count R05 Cough and cold preparations 5-14,distinct_patient_count R05 Cough and cold preparations 60-79,distinct_patient_count R05 Cough and cold preparations 80+,distinct_patient_count R05 Cough and cold preparations <1,distinct_patient_count R06 Antihistamines for systemic use 0-200,distinct_patient_count R06 Antihistamines for systemic use 1-4,distinct_patient_count R06 Antihistamines for systemic use 15-34,distinct_patient_count R06 Antihistamines for systemic use 35-59,distinct_patient_count R06 Antihistamines for systemic use 5-14,distinct_patient_count R06 Antihistamines for systemic use 60-79,distinct_patient_count R06 Antihistamines for systemic use 80+,distinct_patient_count R06 Antihistamines for systemic use <1
2023-01-02,DE.BW,314.0,6.0,84.0,136.0,13.0,37.0,38.0,0.0,103.0,0.0,32.0,38.0,0.0,15.0,18.0,775.0,2.0,76.0,257.0,3.0,158.0,279.0,0.0,718.0,9.0,114.0,285.0,17.0,121.0,172.0,0.0,150.0,0.0,20.0,50.0,3.0,24.0,53.0,0.0
2023-01-02,DE.BY,292.0,8.0,57.0,106.0,31.0,48.0,42.0,0.0,80.0,0.0,33.0,31.0,3.0,6.0,7.0,768.0,13.0,71.0,259.0,14.0,158.0,253.0,0.0,693.0,22.0,121.0,185.0,51.0,127.0,187.0,0.0,146.0,0.0,35.0,43.0,10.0,25.0,33.0,0.0
2023-01-02,DE.BE,76.0,0.0,16.0,27.0,5.0,14.0,14.0,0.0,8.0,0.0,6.0,2.0,0.0,0.0,0.0,310.0,0.0,14.0,91.0,2.0,91.0,112.0,0.0,176.0,0.0,33.0,60.0,3.0,29.0,51.0,0.0,48.0,0.0,3.0,15.0,4.0,9.0,17.0,0.0
2023-01-02,DE.BB,30.0,0.0,6.0,12.0,3.0,4.0,5.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,172.0,4.0,14.0,42.0,5.0,33.0,74.0,0.0,87.0,0.0,7.0,31.0,3.0,15.0,31.0,0.0,29.0,0.0,4.0,6.0,3.0,0.0,16.0,0.0
2023-01-02,DE.HB,40.0,6.0,3.0,18.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,8.0,8.0,38.0,2.0,25.0,32.0,0.0,69.0,7.0,7.0,22.0,5.0,9.0,19.0,0.0,19.0,2.0,0.0,7.0,2.0,0.0,8.0,0.0
2023-01-02,DE.HH,48.0,0.0,16.0,19.0,0.0,7.0,6.0,0.0,8.0,0.0,3.0,5.0,0.0,0.0,0.0,175.0,0.0,11.0,47.0,2.0,38.0,77.0,0.0,125.0,0.0,24.0,47.0,5.0,23.0,26.0,0.0,47.0,0.0,6.0,13.0,0.0,8.0,20.0,0.0
2023-01-02,DE.HE,224.0,2.0,46.0,84.0,12.0,38.0,42.0,0.0,81.0,0.0,27.0,38.0,2.0,7.0,7.0,847.0,2.0,55.0,273.0,7.0,203.0,307.0,0.0,520.0,5.0,78.0,168.0,28.0,95.0,146.0,0.0,170.0,0.0,33.0,56.0,4.0,27.0,50.0,0.0
2023-01-02,DE.MV,61.0,0.0,14.0,18.0,5.0,9.0,12.0,0.0,9.0,0.0,2.0,3.0,0.0,2.0,2.0,139.0,0.0,9.0,34.0,3.0,35.0,58.0,0.0,134.0,0.0,19.0,49.0,4.0,18.0,42.0,0.0,32.0,0.0,5.0,11.0,2.0,5.0,9.0,0.0
2023-01-02,DE.NI,291.0,4.0,64.0,97.0,28.0,44.0,54.0,0.0,42.0,0.0,15.0,18.0,0.0,6.0,3.0,1407.0,0.0,117.0,416.0,7.0,346.0,521.0,0.0,720.0,4.0,89.0,247.0,34.0,141.0,205.0,0.0,282.0,4.0,57.0,72.0,11.0,45.0,93.0,0.0
2023-01-02,DE.NW,621.0,29.0,108.0,237.0,40.0,107.0,100.0,0.0,147.0,0.0,55.0,50.0,0.0,18.0,24.0,2926.0,10.0,237.0,887.0,17.0,767.0,1008.0,0.0,1664.0,24.0,243.0,579.0,46.0,335.0,437.0,0.0,498.0,4.0,70.0,146.0,15.0,80.0,183.0,0.0
2023-01-02,DE.RP,197.0,8.0,42.0,81.0,26.0,18.0,22.0,0.0,47.0,0.0,20.0,12.0,0.0,4.0,11.0,651.0,2.0,56.0,191.0,4.0,167.0,231.0,0.0,478.0,15.0,87.0,149.0,35.0,74.0,118.0,0.0,106.0,3.0,22.0,19.0,4.0,16.0,42.0,0.0
2023-01-02,DE.SL,85.0,2.0,14.0,30.0,9.0,17.0,13.0,0.0,22.0,0.0,7.0,10.0,2.0,0.0,3.0,413.0,0.0,32.0,121.0,2.0,124.0,134.0,0.0,220.0,2.0,38.0,63.0,8.0,48.0,61.0,0.0,57.0,0.0,18.0,17.0,0.0,6.0,16.0,0.0
2023-01-02,DE.SN,46.0,0.0,13.0,15.0,3.0,7.0,8.0,0.0,8.0,0.0,6.0,0.0,0.0,2.0,0.0,181.0,0.0,13.0,32.0,0.0,42.0,94.0,0.0,204.0,3.0,22.0,56.0,3.0,42.0,78.0,0.0,24.0,0.0,9.0,6.0,0.0,4.0,5.0,0.0
2023-01-02,DE.ST,47.0,0.0,5.0,21.0,2.0,9.0,10.0,0.0,18.0,0.0,7.0,4.0,0.0,3.0,4.0,229.0,2.0,9.0,72.0,0.0,61.0,85.0,0.0,199.0,6.0,14.0,54.0,5.0,53.0,67.0,0.0,43.0,0.0,11.0,9.0,2.0,7.0,14.0,0.0
2023-01-02,DE.SH,154.0,0.0,53.0,59.0,6.0,18.0,18.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,2.0,760.0,0.0,75.0,206.0,2.0,194.0,283.0,0.0,283.0,0.0,37.0,97.0,8.0,47.0,94.0,0.0,152.0,0.0,26.0,48.0,0.0,28.0,50.0,0.0
2023-01-02,DE.TH,90.0,2.0,22.0,33.0,10.0,10.0,13.0,0.0,11.0,0.0,0.0,7.0,0.0,2.0,2.0,384.0,0.0,17.0,107.0,0.0,99.0,161.0,0.0,269.0,2.0,32.0,84.0,10.0,49.0,92.0,0.0,74.0,0.0,13.0,20.0,0.0,10.0,31.0,0.0
2023-01-09,DE.BW,497.0,3.0,122.0,177.0,16.0,85.0,94.0,0.0,195.0,0.0,85.0,68.0,4.0,18.0,20.0,1488.0,0.0,113.0,479.0,6.0,350.0,540.0,0.0,1095.0,5.0,203.0,360.0,23.0,203.0,301.0,0.0,321.0,0.0,56.0,114.0,7.0,47.0,97.0,0.0
2023-01-09,DE.BY,524.0,34.0,103.0,204.0,53.0,58.0,72.0,0.0,141.0,0.0,47.0,57.0,7.0,18.0,12.0,1545.0,8.0,117.0,432.0,21.0,344.0,623.0,0.0,1061.0,26.0,174.0,315.0,53.0,166.0,327.0,0.0,305.0,7.0,59.0,84.0,23.0,43.0,89.0,0.0
2023-01-09,DE.BE,50.0,0.0,7.0,31.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,314.0,0.0,25.0,91.0,0.0,82.0,116.0,0.0,118.0,0.0,14.0,45.0,2.0,25.0,32.0,0.0,45.0,0.0,6.0,16.0,2.0,10.0,11.0,0.0
2023-01-09,DE.BB,32.0,3.0,2.0,13.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,3.0,14.0,42.0,2.0,35.0,61.0,0.0,81.0,6.0,10.0,20.0,3.0,14.0,28.0,0.0,27.0,0.0,5.0,3.0,3.0,8.0,8.0,0.0
2023-01-09,DE.HB,30.0,9.0,7.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,2.0,16.0,44.0,0.0,38.0,41.0,0.0,66.0,13.0,15.0,13.0,4.0,6.0,15.0,0.0,31.0,0.0,0.0,14.0,6.0,2.0,9.0,0.0
2023-01-09,DE.HH,40.0,0.0,9.0,19.0,2.0,5.0,5.0,0.0,11.0,0.0,6.0,5.0,0.0,0.0,0.0,225.0,0.0,18.0,73.0,0.0,47.0,87.0,0.0,131.0,0.0,31.0,47.0,0.0,18.0,35.0,0.0,42.0,0.0,7.0,12.0,4.0,5.0,14.0,0.0
